PID,OwnerID,OfficeID,HouseNo,Locality,Area,City,Pin,Size,Type,BHK,Year Built
100000001,1000000001,10004,B21,Connaught Place,Connaught Place,New Delhi,110001,120,FLAT,3,2015
100000002,1000000003,10003,A56,Connaught Place,Connaught Place,New Delhi,110001,85,APARTMENT,2,2018
100000003,1000000004,10002,C12,Connaught Place,Connaught Place,New Delhi,110001,65,FLAT,1,2010
100000004,1000000005,10003,D99,Connaught Place,Connaught Place,New Delhi,110001,150,APARTMENT,4,2020
100000005,1000000007,10004,E04,Andheri,K West,Mumbai,400053,200,FLAT,5,2005
100000006,1000000008,10003,F33,Andheri,K West,Mumbai,400053,110,APARTMENT,2,2022
100000007,1000000011,10004,G77,Koramangala,Ward 151,Bengaluru,560034,95,FLAT,2,2012
100000008,1000000017,10004,H11,Navrangpura,Navrangpura,Ahmedabad,380009,130,APARTMENT,3,2016
100000009,1000000020,10004,I88,Navrangpura,Navrangpura,Ahmedabad,380009,140,FLAT,3,2008
100000010,1000000022,10003,J02,T. Nagar,Ward 117,Chennai,600017,75,APARTMENT,1,2019
100000011,1000000001,10002,K11,Connaught Place,Connaught Place,New Delhi,110001,110,FLAT,2,2002
100000012,1000000003,10002,L22,Connaught Place,Connaught Place,New Delhi,110001,145,APARTMENT,3,2011
100000013,1000000004,10002,M33,Connaught Place,Connaught Place,New Delhi,110001,90,FLAT,2,2006
100000014,1000000005,10003,N44,Connaught Place,Connaught Place,New Delhi,110001,210,APARTMENT,4,2021
100000015,1000000007,10002,P55,Andheri,K West,Mumbai,400053,80,FLAT,1,2004
100000016,1000000008,10003,Q66,Andheri,K West,Mumbai,400053,125,APARTMENT,3,2015
100000017,1000000009,10002,R77,Andheri,K West,Mumbai,400053,160,FLAT,4,2009
100000018,1000000010,10003,S88,Andheri,K West,Mumbai,400053,105,APARTMENT,2,2018
100000019,1000000011,10004,T99,Koramangala,Ward 151,Bengaluru,560034,135,FLAT,3,2007
100000020,1000000012,10004,U01,Koramangala,Ward 151,Bengaluru,560034,190,APARTMENT,4,2022
100000021,1000000013,10004,V12,Koramangala,Ward 151,Bengaluru,560034,70,FLAT,1,2003
100000022,1000000015,10002,W23,Koramangala,Ward 151,Bengaluru,560034,115,APARTMENT,2,2014
100000023,1000000017,10003,X34,Navrangpura,Navrangpura,Ahmedabad,380009,155,FLAT,3,2010
100000024,1000000020,10003,Y45,Navrangpura,Navrangpura,Ahmedabad,380009,95,APARTMENT,2,2019
100000025,1000000022,10004,Z56,T. Nagar,Ward 117,Chennai,600017,180,FLAT,4,2005
100000026,1000000024,10003,A67,T. Nagar,Ward 117,Chennai,600017,85,APARTMENT,2,2017
100000027,1000000001,10003,B78,Connaught Place,Connaught Place,New Delhi,110001,130,FLAT,3,2008
100000028,1000000003,10004,C89,Connaught Place,Connaught Place,New Delhi,110001,200,APARTMENT,4,2023
100000029,1000000007,10002,D90,Andheri,K West,Mumbai,400053,75,FLAT,1,2001
100000030,1000000008,10002,E01,Andheri,K West,Mumbai,400053,140,APARTMENT,3,2013
100000031,1000000011,10003,F12,Koramangala,Ward 151,Bengaluru,560034,100,FLAT,2,2006
100000032,1000000012,10003,G23,Koramangala,Ward 151,Bengaluru,560034,170,APARTMENT,4,2020
100000033,1000000017,10002,H34,Navrangpura,Navrangpura,Ahmedabad,380009,115,FLAT,2,2011
100000034,1000000020,10002,I45,Navrangpura,Navrangpura,Ahmedabad,380009,150,APARTMENT,3,2016
100000035,1000000022,10002,J56,T. Nagar,Ward 117,Chennai,600017,90,FLAT,2,2004
100000036,1000000024,10003,K67,T. Nagar,Ward 117,Chennai,600017,125,APARTMENT,3,2018
100000037,1000000004,10003,L78,Connaught Place,Connaught Place,New Delhi,110001,160,FLAT,3,2009
100000038,1000000009,10003,M89,Andheri,K West,Mumbai,400053,85,APARTMENT,2,2022
100000039,1000000013,10003,N90,Koramangala,Ward 151,Bengaluru,560034,195,FLAT,4,2012
100000040,1000000017,10003,P01,Navrangpura,Navrangpura,Ahmedabad,380009,70,APARTMENT,1,2000
